text_id,skills
text0,s13 s2 s46
text106,s22 s24
text108,s16 s24
text109,s16 s24
text112,s34
text114,s34
text115,s39
text124,s25 s7
text125,s7
text129,s45
text132,s17
text136,s1 s7
text137,s1 s21 s22 s5
text142,s1 s11 s12 s21 s26 s35 s4 s47
text143,s0 s1 s32 s9
text144,s0 s1 s23
text149,s1
text150,s1 s28
text152,s1 s15 s28 s32
text156,s0 s27 s41 s47 s9
text162,s4
text169,s0 s2 s3 s6
text17,s0
text171,s0 s10 s49 s6 s9
text172,s0 s10 s2 s3
text175,s0 s3 s6 s9
text190,s10
text191,s33
text192,s33
text193,s49
text198,s17
text20,s0
text208,s41
text211,s3
text214,s19 s37
text219,s0 s13 s2 s46
text22,s0
text220,s0 s13 s2 s46
text223,s3
text226,s0 s32
text23,s0
text241,s36
text242,s36
text243,s22
text244,s16
text25,s0
text264,s13
text266,s27
text269,s19
text272,s21
text277,s29 s5
text278,s29 s5
text283,s1 s30 s42
text29,s0
text295,s12 s2
text298,s12 s2
text31,s0
text311,s0 s24
text313,s3
text314,s10 s3
text315,s10 s3
text316,s10 s13 s3 s9
text321,s13 s23 s9
text323,s13 s9
text325,s16
text33,s0
text35,s0
text38,s0 s20 s7
text39,s0
text4,s3
text44,s50
text46,s1 s15
text5,s37
text52,s27
text54,s16 s21 s43
text56,s21
text59,s15
text61,s11 s15 s26 s7
text7,s0
text72,s26 s42 s5
text78,s5
text79,s5
text8,s0 s50
text86,s4
text9,s0
text91,s4
text97,s18 s8
