text_id,text
text0,"Võistlusülesande lahendamiseks vajalikud erialased teadmised ja oskused: elektroonikakomponentide formeerimine ja paigaldamine trükkplaadile, elektroonikakomponentide trükkplaadilt maha jootmine, elektroonikakomponentide trükkplaadile jootmine, jooteseadmete kasutamine, jootematerjalide kasutamine, elektroonikakomponentide ohutus."
text1,Võistlusülesandena tuli elektroonikutel etteantud komponentidest kokku monteerida pindmontaaž- ja läbiviiktehnoloogiaid kasutav elektroonikaseadme trükkplaat. 
text2,"Võistlusülesande lahendamiseks vajalikud erialased teadmised ja oskused: elektroonikakomponentide formeerimine ja paigaldamine trükkplaadile, elektroonikakomponentide trükkplaadilt maha jootmine, elektroonikakomponentide trükkplaadile jootmine, jooteseadmete kasutamine, jootematerjalide kasutamine, elektroonikakomponentide ohutus."
text3,"See on väga hea ja positiivne alus, kust kõrgemaid probleemilahenduse ja tehnoloogia kasutuse oskusi edasi arendada. "
text4,"Võistlusülesande lahendamiseks vajalikud erialased teadmised ja oskused: elektroonikakomponentide formeerimine ja paigaldamine trükkplaadile, elektroonikakomponentide trükkplaadilt maha jootmine, elektroonikakomponentide trükkplaadile jootmine, jooteseadmete kasutamine, jootematerjalide kasutamine, elektroonikakomponentide ohutus."
text5,"“Töövõtted ja ohutustehnika olid kõigil võistlejatel selged ja nende eest said kõik maksimumpunktid,” tunnustas Kolk."
text6,"“Töövõtted ja ohutustehnika olid kõigil võistlejatel selged ja nende eest said kõik maksimumpunktid,” tunnustas Kolk."
text7,"Enamasti on nendeks pigem eraisikud ja väikese suurusega ettevõtjad, kel tihti puudub ka oskus, võimekus ja eelarve oma dokumentide pikaajalise turvalisuse tagamiseks."
text8,"“Täpsust ja osavust nõudvat käsijootmise ülesannet jälgisid IPC meisterkoolitaja sertifikaatidega kohtunikud Tallinna Polütehnikumist, kes rahvusvahelistele IPC standarditele tuginedes hindasid valminud trükkplaadi töövõimet ja koostamise kvaliteeti,” selgitab Kolk võistlustööde hindamise parameetreid ning lisab, et võidutöö tulemus oli ideaalilähedane."
text9,"Ühiselt vaadatakse üle, kuidas ja milline eesmärkide puu luua ning kuidas tulemusi hinnata ning tagada edusammudega seotud kommunikatsioon."
text10,"LIKTA kutsub inimesi kõigis kolmes Balti riigis üles osalema projekti “Virtual Internships in the Baltics” raames tasuta digioskuste kursustel, pakkudes kokku 30 000 inimesele võimalust tasuta oma teadmisi parandada ja seeläbi tuleviku karjäärivõimalusi edendada."
