query_id,intents
query1,i13
query103,i0 i1 i17
query104,i0 i1 i17
query107,i0 i1 i17
query11,i3
query110,i0 i1 i16
query115,i0 i1 i16
query122,i0 i1 i5
query126,i0 i1 i5
query128,i0 i1 i5
query130,i0 i1 i5
query133,i0 i1 i5
query135,i0 i1 i5
query137,i0 i1 i5
query140,i18 i4
query144,i18 i4
query146,i18 i4
query149,i18 i4
query151,i11 i6
query152,i11 i6
query153,i11 i6
query158,i21 i6
query16,i13 i14 i28
query161,i21 i6
query163,i0 i26
query165,i19 i20
query166,i0 i20
query167,i0 i3
query174,i0 i10
query175,i23 i3
query179,i0 i10
query182,i0 i19
query184,i0 i10
query185,i10 i3
query188,i0
query189,i1 i19
query190,i0 i26
query196,i0 i10
query197,i0 i12
query201,i0 i10
query206,i0 i10
query210,i0 i1 i15 i24
query212,i0 i1 i15 i24
query219,i25 i9
query222,i9
query224,i4 i9
query228,i4 i9
query229,i4 i9
query230,i4 i9
query233,i4 i9
query246,i11 i6
query249,i11
query29,i0 i2 i7
query34,i0 i2 i8
query36,i0 i2 i8
query46,i0 i2 i7 i8
query48,i0 i2 i7 i8
query55,i0 i2
query57,i0 i2
query6,i13 i14 i22
query63,i0 i2
query7,i13 i14
query70,i14
query71,i0 i12 i29
query72,i12 i22 i28
query78,i0
query79,i0 i3
query8,i13 i14 i22
query81,i0
query83,i23
query85,i12
query89,i0 i3
query9,i0 i13 i14
query93,i19
query94,i0 i3
