query_id,intents
query199,i0 i10
query195,i0 i10
query74,i29 i3
query237,i4 i9
query183,i0 i10
query136,i0 i1 i5
query86,i19 i3
query181,i12 i3
query143,i18 i4
query62,i0 i2
query23,i0 i2 i7
query147,i18 i4
query26,i0 i2 i7
query240,i11 i6
query245,i11 i6
query42,i0 i2 i8
query50,i0 i2 i7 i8
query203,i0 i12
query31,i0 i2 i7
query69,i0 i12
query53,i0 i2 i7 i8
query218,i25
query17,i0 i13
query35,i0 i2 i8
query112,i0 i1 i16
query32,i0 i2 i7
query177,i0 i3
query157,i21 i6
query148,i18 i4
query200,i0 i10
query5,i13 i14
query43,i0 i2 i8
query220,i25
query105,i0 i1 i17
query124,i0 i1 i5
query119,i0 i1 i5
query4,i13 i14 i22
query194,i27
query150,i11 i6
query173,i0 i10
query98,i0 i16 i17
query113,i0 i1 i16
query101,i0 i1 i17
query156,i21 i6
query211,i0 i1 i15 i24
query180,i12
query216,i0 i1 i15
query3,i13 i14 i22
query64,i0 i2
query100,i1 i16 i17
query80,i0 i13
query28,i0 i2 i7
query65,i0 i2
query168,i0 i20
query38,i0 i2 i8
query247,i11 i6
query47,i0 i2 i7 i8
query41,i0 i2 i8
query40,i0 i2 i8
query77,i12
query154,i11 i6
query131,i0 i1 i5
query39,i0 i2 i8
query155,i11 i6
query178,i0 i3
query162,i21 i6
query138,i0 i1 i5
query18,i3
query92,i0
query59,i0 i2
query198,i0 i10
query191,i0 i10
query117,i0 i1 i5
query208,i0 i3
query243,i11 i6
query51,i0 i2 i7 i8
query95,i27 i3
query109,i0 i1 i16
query54,i0 i2 i7 i8
query0,i13
query209,i0 i1 i15 i24
query27,i0 i2 i7
query139,i0 i1 i5
query164,i0 i29
query226,i4 i9
query102,i0 i1 i17
query111,i0 i1 i16
query30,i0 i2 i7
query239,i11 i6
query2,i22
query145,i18 i4
query24,i0 i2 i7
query67,i12 i3
query186,i23 i3
query61,i0 i2
query232,i4 i9
query60,i0 i2
query121,i0 i1 i5
query56,i0 i2
query172,i0 i26
query108,i0 i1 i17
query37,i0 i2 i8
query75,i1 i12
query49,i0 i2 i7 i8
query202,i3
query235,i4 i9
query170,i0 i10 i23
query15,i0
query52,i0 i2 i7 i8
query132,i0 i1 i5
query244,i11 i6
query90,i0 i27
query207,i0 i3
query221,i0 i25
query22,i0 i2 i7
query213,i0 i1 i15 i24
query96,i0 i22
query76,i12 i28
query58,i0 i2
query45,i0 i2 i7 i8
query160,i21 i6
query205,i0 i10
query141,i18 i4
query241,i11 i6
query120,i0 i1 i5
query242,i11 i6
query13,i14 i3
query73,i20 i26
query134,i0 i1 i5
query225,i4 i9
query234,i4 i9
query192,i0 i10 i23
query118,i0 i1 i5
query87,i27 i3
query82,i0 i3
query114,i0 i1 i16
query223,i4 i9
query238,i4 i9
query129,i0 i1 i5
query215,i0 i1 i15
query14,i0 i14 i9
query66,i0 i19
query171,i0 i10
query19,i12
query88,i0 i3
query187,i23 i3
query248,i0 i11 i6
query84,i0 i3
query142,i18 i4
query214,i0 i1 i15 i24
query91,i19 i20
query227,i4 i9
query116,i0 i1 i5
query204,i0 i3
query44,i0 i2 i7 i8
query159,i21 i6
query106,i0 i1 i17
query68,i12
query99,i0 i1 i16
query236,i4 i9
query97,i0 i26
query193,i0 i10
query12,i20
query33,i0 i2 i8
query20,i0 i1
query125,i0 i1 i5
query21,i20
query169,i0 i19
query217,i25 i9
query123,i0 i1 i5
query25,i0 i2 i7
query176,i19 i20
query10,i0 i3
query231,i4 i9
query127,i0 i1 i5
