id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,acr,trt,trs,trj,trl,kt,kj,kl,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
3711460,AM _ 11844 G 3245,"graafika, Samojeedi naine",3245.0,paber,,naise portree,,,,,  ,autor,"Bermelejev, J.",,,,pliiats,kõrgus,cm,"21,6",AM,_,11844.0,,,G,,,1.0,,1.0,,"määrdunud, laiguline",rahuldav,,,graafika
2934625,,,,,,teater,,1965,,ei,  ,seosorganisatsioon,Eesti Draamateater,,,,mustvalge fotograafia,,,,ETMM,_,12709.0,280.0,,T,3.0,25:31:00,1.0,Carmen Mikiveri ca 2010 üle antud Mikk Mikiveri fotokogu,1.0,,,hea,,,foto
2331975,AM _ 29554 A 591:26,Shlakk,591.0,raud,,,,,,,,,,,,,,,,,AM,_,29554.0,,,A,26.0,,1.0,"Kaevanud M.Mandel 1989.a., bussijaama kaevand",,,,hea,,,arheoloogiline leid
3908995,ETMM _ 11673 M 164:1/106:40,"Kava, Lepnurm, Hugo - Orelifestivali buklett",164.0,paber,,kultuur,,1970,1983,ei,  ,,,,,,,,,,ETMM,_,11673.0,,,M,1.0,106:40:00,1.0,,1.0,,,rahuldav,,,kava
3379128,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,26.0,,1.0,Majandusmuuseumi esemete üleandmine AM põhikogusse sesoes likvideerimisega.,1.0,,,hea,,,foto
4205238,ETMM _ 11533 M 159:143/Ar,The Book of Musical Documents,159.0,paber,,trükkimine/ avaldamine,linn New York,1948,,ei,Ameerika Ühendriigid  ,väljaandja,Philosophical Library,,,,trükkimine,raamatu maht,lk,381,ETMM,_,11533.0,,,M,143.0,Ar,1.0,,1.0,,,rahuldav,,Karl Leichteri autogramm,raamat
2795813,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,4.0,,1.0,,1.0,,,hea,,,fotonegatiiv
3188681,AM _ 70:121/3 P 5539,Narva valla kalurite täitevkomitee pitser,5539.0,paber,,revolutsioon,,1918,1920,ei,  ,,,,,,,kõrgus,cm,"5,2",AM,_,70.0,121.0,3,P,,,1.0,,1.0,,Korras,hea,,Р.С.ф.С.Р. Исполнительный комутет рыбаков Наровской волости Петрогр губ ямбурск уез,pitser/templijäljend
3254465,ETMM _ 12762:552 M 169:1/26:8,"TRK kontsert Kadrioru lossis
",169.0,paber,,kontserdid,,05.10.1986,,ei,  ,esineja,"Riikjärv, Aino",,,,,,,,ETMM,_,12762.0,552.0,,M,1.0,26:08:00,1.0,"Endel Lippuse ja Virve Lippuse arhiiv M 169, mõned materjalid Urve Lippusest M 131",1.0,26:08:00,,hea,,,kava
3557067,ETMM _ 7664 T 6:1/33:7,"Eesti rahvalaulu sõnad, saksa keeles, Wo ist, vo ist Heim der Waisen. A. Trilljärve kogu",6.0,paber,,teater,,,,,  ,seosisik,"Trilljärv, Aleksander",,,,tint,dokumendi maht,leht,2,ETMM,_,7664.0,,,T,1.0,33:07:00,1.0,,1.0,,,hea,,,dokument
