image_id,labels
img256.jpg,l16 l18 l23 l25 l73
img98.jpg,l0 l24 l26 l39
img147.jpg,l14 l3
img254.jpg,l2 l25 l29
img160.jpg,l0 l32 l38 l40 l6
img55.jpg,l3 l9
img202.jpg,l0 l1 l2 l20 l6
img214.jpg,l1 l20 l5 l6
img119.jpg,l11 l3 l39 l45
img201.jpg,l1 l10 l19 l6
img203.jpg,l1 l5 l6
img80.jpg,l2 l62
img127.jpg,l0 l2 l54 l6
img205.jpg,l0 l2 l6
img204.jpg,l1 l10 l20 l5 l6 l61
img87.jpg,l60 l68 l75
img159.jpg,l0 l38 l40 l6
img47.jpg,l0 l16 l3 l45 l67 l7 l9
img20.jpg,l18 l27 l3
img12.jpg,l53 l91
img227.jpg,l1 l3
img45.jpg,l0 l1 l16 l2 l3 l62 l7
img283.jpg,l68 l77 l78 l8
img154.jpg,l0 l14 l5 l7 l9
img14.jpg,l3 l4
img219.jpg,l1 l36 l47 l5 l6
img99.jpg,l24 l26 l39
img271.jpg,l84
img130.jpg,l44 l8
img10.jpg,l0 l1 l17 l4 l5 l7
img146.jpg,l14 l2 l5 l9
img190.jpg,l56
img28.jpg,l21 l35
img1.jpg,l0 l17 l4 l58 l63 l79
img85.jpg,l0 l13 l60 l75
img246.jpg,l0 l1 l11
img51.jpg,l1 l3 l34 l52 l67 l7 l9
img216.jpg,l1 l11 l12 l2 l36 l47 l8
img53.jpg,l1 l15 l3 l34 l45 l52 l7
img200.jpg,l0 l10 l11 l43 l65 l7
img236.jpg,l0 l13 l5
img264.jpg,l30 l70 l78 l8 l88
img7.jpg,l0 l27 l3 l4 l81
img179.jpg,l0 l1 l30 l5
img196.jpg,l10 l2 l65
img153.jpg,l0 l14 l5 l7
img4.jpg,l17 l27 l3 l4 l7 l90
img101.jpg,l0 l24 l26 l39 l41 l5
img291.jpg,l0 l12 l61 l62 l7
img298.jpg,l28 l3 l48 l6
img92.jpg,l0 l19 l20 l41 l9
img276.jpg,l0 l28 l5
img2.jpg,l0 l17 l27 l4 l58 l63 l79
img111.jpg,l0 l10 l13
img233.jpg,l1 l3 l4 l42 l9
img86.jpg,l13 l60 l75
img38.jpg,l35 l4 l85
img56.jpg,l34
img100.jpg,l0 l1 l24 l26 l39 l41 l5
img65.jpg,l0 l4 l80 l82
img83.jpg,l0 l1 l10 l23 l5 l9
img110.jpg,l10 l6
img9.jpg,l0 l4 l58 l63 l81
img295.jpg,l28 l3 l48 l6
img50.jpg,l0 l1 l20 l34 l49 l52 l61 l9
img54.jpg,l3 l45
img169.jpg,l0 l1 l19 l21 l3 l83
img34.jpg,l21 l35 l55 l8
img24.jpg,l1 l18 l2 l5 l55 l7 l71 l9
img19.jpg,l1 l15 l18 l2 l21
img35.jpg,l0 l2 l4 l53 l56 l91
img229.jpg,l16 l23 l3 l4 l42 l69
img174.jpg,l0 l1 l4
img68.jpg,l0 l1 l41 l86
img235.jpg,l10 l20 l8
img66.jpg,l37 l4 l46 l82
img220.jpg,l0 l24 l26 l28
img149.jpg,l1 l12 l14 l15 l5 l7
img215.jpg,l0 l1 l12 l33 l36 l47 l55
img13.jpg,l3 l8
img272.jpg,l66 l8 l84
img78.jpg,l2
img193.jpg,l0 l2 l3 l33
img293.jpg,l0 l33 l76
img63.jpg,l1 l17 l37 l4 l72
img286.jpg,l11 l2 l7
img186.jpg,l1 l20 l36 l47 l5 l50 l7
img239.jpg,l0 l1 l10 l2 l6
img168.jpg,l0 l1 l21 l3 l83
img31.jpg,l21 l35
img112.jpg,l51
img36.jpg,l1 l21 l64
img224.jpg,l1 l36 l70
img89.jpg,l0 l26 l62 l90
img172.jpg,l1 l32 l4
img76.jpg,l0 l57
img157.jpg,l14 l19 l32 l50 l7
img58.jpg,l1 l11 l17 l30 l4 l5 l50 l52
img299.jpg,l28 l3 l48 l6
img261.jpg,l89
img244.jpg,l0 l10 l11 l2 l8
img25.jpg,l1 l18 l2 l3 l43 l7 l71
img16.jpg,l1 l53 l6 l91
img188.jpg,l1 l20 l32 l6
img138.jpg,l1 l4 l59
img44.jpg,l16 l47
img277.jpg,l4 l8
img267.jpg,l1 l41 l5 l9
img240.jpg,l0 l1 l85
img104.jpg,l51
img178.jpg,l1 l18 l2 l3 l74
img297.jpg,l28 l3 l48 l6
img290.jpg,l0 l11 l12 l35 l66 l7
img294.jpg,l12 l24 l28 l48
img158.jpg,l0 l38 l40 l6
img207.jpg,l1 l13 l2 l5 l7
img95.jpg,l0 l87
img40.jpg,l1 l11 l12 l16 l76 l8
img162.jpg,l1 l20 l38 l40 l49 l6 l9
img46.jpg,l1 l15 l3 l30 l67 l7 l70 l9
img269.jpg,l0 l66
img117.jpg,l33 l6
img52.jpg,l1 l14 l15 l34 l5 l52 l9
img165.jpg,l1 l14 l2 l3 l7 l8
img21.jpg,l1 l18 l2 l21 l71
img155.jpg,l14 l7
img213.jpg,l1 l12 l18 l2 l5 l9
img26.jpg,l1 l18 l2 l21 l3 l43 l46
img275.jpg,l8
img17.jpg,l1 l14 l53
img134.jpg,l44
img96.jpg,l0 l24 l87
img144.jpg,l0 l1 l3
img77.jpg,l0 l11
img199.jpg,l2 l65
img245.jpg,l0 l1 l11 l12 l2 l3
img185.jpg,l0 l1 l20 l26 l5 l7 l9
img143.jpg,l0 l1 l22 l31 l33 l54
img191.jpg,l0 l1 l2 l22 l30 l31 l5
img217.jpg,l36 l47 l55
img88.jpg,l13 l60 l68
img132.jpg,l44 l8
img274.jpg,l13 l23 l8 l81
img287.jpg,l22
img29.jpg,l0 l14 l21
img0.jpg,l0 l17 l4 l58 l63 l79
img97.jpg,l0 l15 l24 l26 l39
img278.jpg,l0 l12 l3 l37 l38 l40 l80
img108.jpg,l13 l2 l23 l51
img270.jpg,l84
img242.jpg,l32 l5
img237.jpg,l0 l32 l5
img225.jpg,l1 l10 l2 l36 l70
img27.jpg,l13 l15 l2 l27 l5 l55
img62.jpg,l1 l17 l37 l4 l72
img273.jpg,l0 l66 l87
img125.jpg,l0 l1 l19 l22 l31 l43 l6
img164.jpg,l0 l38 l40 l6
img142.jpg,l0 l1 l22 l74
img123.jpg,l0 l1 l19 l22 l31 l34 l6
img145.jpg,l0 l14 l27 l5
img30.jpg,l0 l3 l35 l46
img60.jpg,l0 l17 l18 l27 l37 l4
img263.jpg,l66 l8 l88
img109.jpg,l10 l2 l27 l64
img268.jpg,l1 l23 l3 l80
img129.jpg,l12 l20 l44 l6
img241.jpg,l0 l1 l86
img107.jpg,l17 l4
img177.jpg,l0 l1 l4 l5 l56 l85
img116.jpg,l6 l8
img61.jpg,l17 l18 l37 l4
img70.jpg,l0 l1 l41 l59 l86 l9
img282.jpg,l68 l77 l78 l8
img64.jpg,l1 l4 l43 l82
img175.jpg,l0 l1 l4 l5 l85
img122.jpg,l0 l1 l19 l22 l31 l34 l6
img67.jpg,l37 l4 l82
img210.jpg,l1 l10 l13 l2 l32 l5
img184.jpg,l1 l15 l2 l20 l7
img253.jpg,l16 l25 l29 l73
img74.jpg,l3 l57
img91.jpg,l44
img72.jpg,l18 l57
img141.jpg,l1 l22 l43 l49 l54 l7 l74
img232.jpg,l1 l16 l23 l4 l42 l69
img115.jpg,l1 l19 l32 l4
img284.jpg,l68 l77 l78 l8
img148.jpg,l1 l2 l56 l7 l73
img197.jpg,l0 l10 l11 l65 l7
img135.jpg,l8
img226.jpg,l1 l15 l18 l59 l80
img120.jpg,l0 l1 l2 l31 l43 l5 l54 l6
img171.jpg,l0 l1 l15 l4 l9
img255.jpg,l25 l29 l8
img187.jpg,l0 l15 l19 l20
img163.jpg,l0 l19 l38 l40 l6
img6.jpg,l0 l27 l3 l81
img258.jpg,l25 l29
img260.jpg,l89
img105.jpg,l51
img198.jpg,l0 l10 l11 l65 l7
img82.jpg,l2
img124.jpg,l0 l1 l19 l22 l34 l6
img23.jpg,l1 l15 l18 l2 l21 l71
