station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
162,,,0.05,,0.034,,16.0,,0.0,,,,6.0,,,,6.0,,300.0,,0.0,,0.0,,,,0.21,,68.0,,10.0,,0.45,,0.01,,2.0,,1.7,,,,8.1,,23.0,,,,2.0,,1.0,,7.6,,0.0,,0.0
170,,,0.25,0.24,,,29.0,,,,0.0,0.0,17.0,,,,8.8,7.0,631.0,662.0,,,,,0.0,0.0,,,,,,,,1.0,,0.007,5.0,2.0,0.64,,,,,,20.3,,,,5.0,2.0,0.62,1.86,7.74,7.6,0.0,0.0,1.0
171,,,,,,,112.0,90.0,,4.0,,,,135.0,,,4.0,2.0,734.0,635.0,,,,0.0,,,,,96.0,140.0,6.0,5.0,,,,,2.0,1.0,,,,,,,,,,,2.0,1.0,1.4,1.5,7.5,7.6,0.0,1.0,0.0
175,,,0.05,0.05,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,400.0,384.0,0.0,0.0,,,0.0,0.0,,,23.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.9,7.6,0.0,0.0,0.0
176,,,,,,,,,,,0.0,,0.0,0.0,,,,,805.0,936.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.5,0.5,7.4,7.1,0.0,0.0,0.0
178,,,0.05,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,593.0,576.0,,,,,0.0,0.0,,,20.0,20.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.5,7.4,0.0,0.0,0.0
205,,10.0,0.05,0.24,,0.1,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,448.0,359.0,,0.0,,,0.0,0.0,,0.1,20.0,21.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.8,7.7,0.0,0.0,0.0
217,,,0.19,,,,,,,,0.0,0.0,,,,,8.5,,507.0,,,,,,0.0,0.0,,,432.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,2.95,,7.49,,1.0,0.0,0.0
221,,,0.05,,,,,,,,0.0,,14.0,,,,0.0,,346.0,,,,,,0.0,,,,189.0,,40.0,10.0,,,,,1.0,,1.8,1.7,,,6.6,5.9,1.0,1.0,,,1.0,,1.0,,7.5,,0.0,0.0,1.0
229,,,,,,,,,,,0.0,,0.0,,,,0.0,,463.0,,,,,,0.0,,,,334.0,,81.0,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,7.2,,1.0,,0.0
