station_id,Aluminium_2019,Aluminium_2020,Ammonium_2019,Ammonium_2020,Boron_2019,Boron_2020,Chloride_2019,Chloride_2020,Coli-like-bacteria-Colilert_2019,Coli-like-bacteria-Colilert_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt-Co-unit_2019,Color-Pt-Co-unit_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Enterococci_2019,Enterococci_2020,Escherichia-coli-Colilert_2019,Escherichia-coli-Colilert_2020,Escherichia-coli_2019,Escherichia-coli_2020,Fluoride_2019,Fluoride_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Nitrate_2019,Nitrate_2020,Nitrite_2019,Nitrite_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Oxidability_2019,Oxidability_2020,Smell-ball-units_2019,Smell-ball-units_2020,Sodium_2019,Sodium_2020,Sulphate_2019,Sulphate_2020,Taste-ball-units_2019,Taste-ball-units_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
2201,,,0.05,,,,,,,,0.0,0.0,11.0,21.0,5.0,5.0,,,568.0,578.0,,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,7.46,7.45,0.0,0.0,0.0
772,,,,,,,,,,,0.0,0.0,0.0,13.0,,,0.0,0.0,274.0,279.0,,,,,0.0,0.0,,,20.0,20.0,10.0,10.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,7.9,7.8,0.0,0.0,0.0
475,10.0,,0.05,0.05,0.1,,11.0,,,,0.0,0.0,2.0,1.0,5.9,8.0,,,544.0,538.0,0.0,,,,0.0,0.0,0.1,,21.0,20.0,39.0,20.0,1.0,,0.002,,,,1.4,,0.0,0.0,4.1,,28.0,,0.0,0.0,,,0.2,0.2,7.6,7.7,0.0,0.0,0.0
777,,,,0.03,,,,,,,,0.0,,380.0,,5.0,,,,1077.0,,0.0,,,,0.0,,,,195.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.3,,7.5,,0.0,0.0
1686,10.0,,0.05,,,,4.1,,,,0.0,,0.0,,,,0.0,,532.0,,0.0,,,,0.0,0.0,,,47.0,20.0,10.0,10.0,1.0,1.0,0.002,0.002,1.0,,2.7,2.0,,,102.0,127.0,15.0,16.0,,,,,1.0,,7.6,,0.0,0.0,0.0
1102,,,,,,,,,0.0,,,0.0,0.0,0.0,,,6.0,9.0,663.0,615.0,,,0.0,,,0.0,,,,20.0,,5.0,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,1.0,1.0,7.7,7.3,0.0,0.0,0.0
272,10.0,10.0,0.05,0.09,0.1,0.1,56.0,52.0,,,0.0,7.0,0.0,0.0,,,0.0,0.0,705.0,764.0,0.0,0.0,,,0.0,0.0,0.2,0.5,20.0,20.0,24.0,16.0,1.0,1.8,0.013,0.01,1.0,1.0,1.5,1.4,,,29.0,27.0,55.0,56.0,,,1.0,1.0,22.0,1.0,7.6,7.4,0.0,1.0,0.0
193,,,0.1,0.08,,,,,,,0.0,0.0,30.0,16.0,,,5.3,11.5,618.0,622.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.1,1.24,7.55,7.55,0.0,0.0,0.0
1821,,,0.05,0.05,,,,,,,0.0,0.0,0.0,36.0,,,0.0,0.0,636.0,682.0,,,,,0.0,0.0,0.2,,20.0,33.0,,,45.0,43.0,0.002,0.002,1.0,1.0,,,,,5.6,5.3,27.0,30.0,,,1.0,1.0,1.0,1.0,7.5,7.3,0.0,0.0,0.0
522,,,0.05,0.05,,,,,,,0.0,0.0,,1.0,3.4,5.2,,,502.0,504.0,,,,,0.0,0.0,,,27.0,20.0,20.0,20.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.4,0.2,7.6,7.8,0.0,0.0,0.0
532,,,0.08,0.05,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,445.0,516.0,0.0,,,,0.0,0.0,,,326.0,261.0,29.0,18.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,3.3,2.0,7.1,7.5,1.0,1.0,1.0
584,,,,0.25,,,118.9,,,,0.0,0.0,94.0,0.0,5.0,5.0,,,869.0,1230.0,0.0,0.0,,,0.0,0.0,,,102.0,,,,,,,,,,,,1.0,0.0,,,75.0,,0.0,1.0,,,1.1,1.0,7.3,8.1,0.0,0.0,0.0
